term,E,P,A,E2,P2,A2
abandon,-3.37,-0.12,-0.31,-3.37,-0.12,-0.31
abduct,-3.77,1.80,1.04,-3.77,1.80,1.04
abet,0.09,0.60,-0.03,0.09,0.60,-0.03
abhor,-2.13,0.90,0.62,-2.13,0.90,0.62
abort,-1.92,1.34,-0.32,-1.92,1.34,-0.32
abuse,-3.84,0.94,1.55,-3.84,0.94,1.55
accept,2.69,2.39,-0.23,2.69,2.39,-0.23
acclaim,1.54,1.30,1.07,1.54,1.30,1.07
accommodate,2.62,1.75,0.51,2.62,1.75,0.51
accost,-1.61,0.67,1.33,-1.61,0.67,1.33
accuse,-1.54,1.23,1.42,-1.54,1.23,1.42
acknowledge,2.68,2.10,0.47,2.68,2.10,0.47
address,1.29,1.27,0.36,1.29,1.27,0.36
admire,2.30,1.58,-0.18,2.30,1.58,-0.18
admit,1.00,1.10,0.14,1.00,1.10,0.14
admonish,-0.15,0.66,0.46,-0.15,0.66,0.46
adopt,3.15,3.03,0.23,3.15,3.03,0.23
adore,2.60,1.95,0.28,2.60,1.95,0.28
advise,2.59,2.47,0.26,2.59,2.47,0.26
aggravate,-2.37,0.53,1.83,-2.37,0.53,1.83
agitate,-2.11,0.65,1.69,-2.11,0.65,1.69
agree_with,1.83,1.30,0.10,1.83,1.30,0.10
aid,3.16,2.77,0.40,3.16,2.77,0.40
alarm,-0.35,1.53,2.38,-0.35,1.53,2.38
alert,2.18,2.09,2.11,2.18,2.09,2.11
alienate,-2.91,1.13,-0.46,-2.91,1.13,-0.46
allow,1.08,1.43,-0.14,1.08,1.43,-0.14
amaze,2.69,2.75,1.78,2.69,2.75,1.78
amuse,2.51,2.08,1.79,2.51,2.08,1.79
analyze,0.67,1.26,-0.62,0.67,1.26,-0.62
anger,-2.22,1.33,1.79,-2.22,1.33,1.79
annihilate,-3.07,2.42,1.92,-3.07,2.42,1.92
annoy,-1.89,0.58,1.72,-1.89,0.58,1.72
answer,1.84,1.20,0.51,1.84,1.20,0.51
antagonize,-2.76,1.03,1.65,-2.76,1.03,1.65
apologize_to,2.72,2.46,-0.82,2.72,2.46,-0.82
appeal_to,1.98,1.80,0.17,1.98,1.80,0.17
appease,0.63,0.65,-0.15,0.63,0.65,-0.15
applaud,2.93,2.28,2.58,2.93,2.28,2.58
appoint,1.74,2.30,0.44,1.74,2.30,0.44
appreciate,3.29,2.65,-0.21,3.29,2.65,-0.21
apprehend,0.02,2.01,1.80,0.02,2.01,1.80
approach,1.59,1.52,0.75,1.59,1.52,0.75
approve_of,2.08,2.03,-0.16,2.08,2.03,-0.16
argue_with,-1.57,1.18,2.22,-1.57,1.18,2.22
arm,-0.58,2.28,1.34,-0.58,2.28,1.34
arouse,1.99,2.04,1.10,1.99,2.04,1.10
arrest,-0.03,2.52,1.84,-0.03,2.52,1.84
ask,1.72,1.22,0.29,1.72,1.22,0.29
ask_about,1.73,0.81,0.14,1.73,0.81,0.14
ask_about_something,1.70,1.19,0.40,1.70,1.19,0.40
ask_out,2.39,1.95,0.47,2.39,1.95,0.47
assail,-1.47,1.17,1.32,-1.47,1.17,1.32
assassinate,-3.39,2.62,0.83,-3.39,2.62,0.83
assault,-3.57,1.95,2.46,-3.57,1.95,2.46
