term,E,P,A,E2,P2,A2
27_year_old,0.77,0.18,1.31,0.77,0.18,1.31
Air_Force_enlistee,1.66,0.86,1.52,1.66,0.86,1.52
Air_Force_officer,1.92,2.15,1.79,1.92,2.15,1.79
Air_Force_reservist,1.75,1.34,1.02,1.75,1.34,1.02
American,1.33,1.17,1.5,1.33,1.17,1.5
Arab,0.56,0.12,0.15,0.56,0.12,0.15
Army_enlistee,1.33,0.21,1.66,1.33,0.21,1.66
Army_officer,1.65,2.2,1.88,1.65,2.2,1.88
Army_reservist,2.06,1.35,1.28,2.06,1.35,1.28
Asian,1.17,0.27,0.09,1.17,0.27,0.09
Asian_American,1.2,0.34,0.18,1.2,0.34,0.18
Asian_man,1.03,0.28,0.14,1.03,0.28,0.14
Asian_woman,1.16,-0.28,-0.05,1.16,-0.28,-0.05
Australian,1.02,0.33,0.51,1.02,0.33,0.51
Austrian,0.84,0.33,0.25,0.84,0.33,0.25
Black,0.56,0.14,0.67,0.56,0.14,0.67
Buddhist,1.4,0.22,-1.76,1.4,0.22,-1.76
CEO,0.79,3.01,2.05,0.79,3.01,2.05
CPA,1.47,1.05,0.08,1.47,1.05,0.08
Catholic,0.59,0.4,0.05,0.59,0.4,0.05
Chinese,0.94,0.27,0.55,0.94,0.27,0.55
Christian,1.17,0.44,0.25,1.17,0.44,0.25
Christian_missionary,1.52,1.11,0.67,1.52,1.11,0.67
German,0.53,0.41,0.4,0.53,0.41,0.4
God,1.82,2.27,-0.66,1.82,2.27,-0.66
Hindu,1.15,0.21,-0.75,1.15,0.21,-0.75
Hispanic_American,0.63,-0.16,0.72,0.63,-0.16,0.72
Hispanic_man,0.91,0.05,0.88,0.91,0.05,0.88
Hispanic_woman,0.83,0.25,0.98,0.83,0.25,0.98
Imam,0.31,1.42,0.15,0.31,1.42,0.15
Jew,1.32,0.5,0.19,1.32,0.5,0.19
Marine_Corps_enlistee,1.84,0.9,1.81,1.84,0.9,1.81
Marine_Corps_officer,1.74,2.3,1.97,1.74,2.3,1.97
Marine_Corps_reservist,2.08,1.93,1.77,2.08,1.93,1.77
Methodist,0.64,0.23,-0.12,0.64,0.23,-0.12
Mormon,0.49,0.19,-0.06,0.49,0.19,-0.06
Muslim,0.01,-0.05,0.17,0.01,-0.05,0.17
Navy_enlistee,1.81,0.6,1.44,1.81,0.6,1.44
Navy_officer,2.02,2.06,1.77,2.02,2.06,1.77
Navy_reservist,1.8,1.3,0.98,1.8,1.3,0.98
Pentecostal,0.3,-0.04,0.78,0.3,-0.04,0.78
Protestant,0.81,0.2,0.14,0.81,0.2,0.14
Turk,1.1,0.27,0.26,1.1,0.27,0.26
_academic,2.07,1.14,-0.31,2.07,1.14,-0.31
_accomplice,-0.4,0.15,0.64,-0.4,0.15,0.64
abortionist,-0.46,1.05,0.45,-0.46,1.05,0.45
accountant,1.31,0.77,-0.16,1.31,0.77,-0.16
accounting_clerk,1.16,0.1,-0.48,1.16,0.1,-0.48
accused,-1.35,-1.48,0.13,-1.35,-1.48,0.13
acquaintance,1.26,0.02,-0.07,1.26,0.02,-0.07
actor,1.06,1.29,1.74,1.06,1.29,1.74
addict,-2.21,-2.35,0.14,-2.21,-2.35,0.14
administrator,1.17,1.83,0.9,1.17,1.83,0.9
adolescent,0.94,-1.01,1.95,0.94,-1.01,1.95
adopted_child,1.5,-0.52,0.3,1.5,-0.52,0.3
adopted_daughter,2.1,0.2,0.48,2.1,0.2,0.48
adopted_son,2.01,0.33,0.94,2.01,0.33,0.94
adult,0.82,1.08,0.43,0.82,1.08,0.43
adulterer,-2.91,-0.51,0.73,-2.91,-0.51,0.73
adulteress,-2.28,0.45,0.95,-2.28,0.45,0.95
advertising_copy_writer,0.91,0.68,0.64,0.91,0.68,0.64
advertising_executive,0.38,2.01,1.97,0.38,2.01,1.97
adviser,1.62,1.64,0.88,1.62,1.64,0.88
agnostic,0.48,-0.1,-0.17,0.48,-0.1,-0.17
aide,2.17,0.77,0.8,2.17,0.77,0.8
airline_pilot,1.96,2.04,0.94,1.96,2.04,0.94
alcoholic,-2.49,-2.22,0.36,-2.49,-2.22,0.36
ally,2.66,1.72,0.69,2.66,1.72,0.69
